label	text
0	«Ростелеком» стал партнером всероссийского конкурса «Поколение I»
0	МТС ввел звонок из роуминга за счет вызываемого абонента
0	МТС и Opera представили магазин мобильных приложений App Market
0	Мегафон e173 скачать прошивку http://t.co/22yRZHrRlv
0	Мегафон тверь справка http://t.co/EthMLtzIZo
1	Завтра может у меня будет и Домашнее Цифровое ТВ МТС #RT
1	@Beeline_RUS ребят, касательно вашего чудесного Мой Билайн.app для iPhone. А можно его сделать ещё чуточку чудеснее?) http://t.co/MgNY0TdPpt
0	Настройка ммс на iphone 5 теле2 http://t.co/KMUGNUvJ1d
1	@Tselyanov @diden05 @redcom_internet Им и пользуюсь сейчас! Спасибо @MegaFonDVpr !
-1	Завтра придется идти в Мегафон, а то я что-то не разберу
0	@Beeline_RUS здравствуйте! У меня есть идея по поводу тарифа. А также хочу направить вам резюме. Не подскажете адреса, куда можно направить?
0	Рынки больших городов насыщены, а программа цифровизации «Ростелекомом» малых населенных пунктов еще не началась
0	инструкция настройки роутера keenetic 4g мтс сотовый оператор http://t.co/yb0e28EJS2 #4g
1	завтра хочу сделать фотку с Сашей из мтс ,реально !! уу,Женя меня убьет))
-1	Интернет в Тунке глючит, правда. #Мегафон тоже сволочной оператор.
1	"Возможность быть ""онлайн"" - специфика работы требует - очень радует (теперь ещё вафай-переносной-модем куплю мегафоновский и вообще в"
1	RT @_Beeline_kz: Сегодня День Системного Администратора! =) С праздником, друзья! http://t.co/KiDNwq11ht
0	ОАО &amp;quot;Мобильные ТелеСистемы&amp;quot; сообщает о запуске в коммерческую эксплуатацию первой сети 4G в Тюменской области. Услуги мобильной п
-1	Незаконная задолженность МТС - минус 9 миллионов! #minsk #ТвиттерСила
1	«МегаФон» в Вологодской области: полгода на скоростях 4G+
-1	RT @EvaKobb: МТС Россия прислала жителям Херсонщины сообщения, в которых обозвала украинцев фашистами? http://t.co/a0cGv7RIaj
1	«МТС Урал» отмечает рост продаж мобильных устройств с поддержкой 4G
0	"У группы есть ""голодный телефон"". Деньги, которые вы положите на этот номер: 8-965-925-0920 (Билайн), буд.. http://t.co/l64WsbRhb9"
0	http://t.co/RrwH81dENe Сотовый оператор МТС ввел функцию звонков из международного роуминга в Россию за счет вызываемого або
0	10 июля 2014 года вещание телеканала CTC Love стартовало в цифровой кабельной сети «Билайн».
-1	"RT @OliverLoveFrank: ЕСЛИ МОБ.ИНЕТ ОПЯТЬ НЕ ЗАРАБОТАЕТ - Я СОЖГУ ВО СЛАВУ САТАНЕ ВСЕ ЗДАНИЯ МТС
ТВАРЬ ЗАХАРИЛИ УЖЕ ЛИШАТЬ МЕНЯ ИНЕТА
Я ВАС …"
0	мтс банк ростовский филиал руководство http://t.co/Ksi2QXrhr9 #ростовский #банк
1	RT @MartinHayes13: Компания МТС после слогана «Ты лучше!» придумала ещё 2: «У тебя больше!» и «Ты чаще!»
1	@parfenov1960 Мегафон, потому что самый крутой мобильный интернет.
0	RT @JulikaAttaway: Драйвера на модем билайна http://t.co/nU25P1XOve
0	@barskykd Константин, мы понимаем Вас.Но для того,что бы Вы могли пользоваться всеми возможностями нашей компании,пож-та,обратитесь=&gt;#билайн
-1	Интересно. Интернет от МТС, бывший Стрим, вообще в курсе, что он высокоскоростной?! Скорость имеет, к тому же, волновую природу.
0	код ошибки 4 билайн http://t.co/NePXo4S0YO
1	МТС лучший
0	«Ростелеком» подсчитал ущерб от наводнения на Алтае
0	e367 мегафон http://t.co/RRVUL0typI прошивка
0	@megafonru @VolkowaH Уточните, пожалуйста в ЛС Ваш номер,  ФИО абонента и Ваше точное местоположение город,улицу и номер дома.Проверим.
0	RT @krasnok18629570: ФАС РФ на заседании в понедельник, 30 июня, приняло сторону компании МТС в споре вокруг контракта на обслуживание Сове…
0	прошивка модема e160g билайн http://t.co/jlfEHHqmbY
-1	Кста я лошок, вчера билайн вырубил инет на самом интересном месте
0	Tele2 подводит итоги четырех лет работы в Вологодской области
0	@Olegt0rr @MegaFonHelp уточните, на каких именно ветках/на каких станциях наблюдались сложности с недоступностью мобильного интернет?
1	омг, появился сигнал #LTE на работе! #билайн
0	Абоненты МТС могут говорить за счет собеседника, находясь в роуминге
0	С 7 по 14 июня 2014 года МТС будет ежедневно проводить розыгрыш билетов на Фестиваль «Воздух»
-1	что-то опять не работает автоплатеж в мегафон :-(
0	«Мегафон» приобрел еще 25% акций компании «Евросеть» за 657 млн долларов
-1	Как и ожидалось, никакой @MegaFonUralhelp со скоростью помогать даже и не собирался. Лишь бы абонент отстал... http://t.co/hulmUH1CRF
0	«Ростелеком» поддержал проведение соревнований по пляжному футболу «Анапа OPEN»
-1	RT @t_felg: Предлагаю Билайну сгореть в аду
-1	@Wild_Ma13 вся семья на билайне...так бы поменял:)
0	пошаговая инструкция как связаться с оператором мегафон http://t.co/yR5dBnEjeL #как #мегафон
1	Два повода подключить скоростной интернет от «Ростелекома» летом #R
-1	#минивэн NoahVoxy. Двигатель • Re: Перегрев двигателя 1AZ-FSE?: megafon_35, на алиэкспрес наши... http://t.co/quArnN3gW4 #автозапчасти
0	Система видеонаблюдения «Ростелекома» успешно отработала в дополнительный период ЕГЭ
-1	@zinda96 Добрый день!Очень жаль, что у Вас возникло такое желание.Скажите, пож-та,цены на какие тарифы или услуги Вам не подходят? #билайн
0	МТС включила 4G в Саратовской области http://t.co/DHzBXP6K7q
0	почему людям нравмтся майнкрафт http://t.co/HUllVIREeI
-1	RT @lexandrGurkin: @rus_fas @nicko664 @Grajdansky @megafonru оператор и спамер продолжают рассылки спама, наплевав на ФАС https://t.co/Ajr5…
0	"""Мегафон"" не получил крупный контракт на обслуживание Пенсионного фонда: ПФР при выборе победителя учитывал среди… #Афоризмы"
-1	@the22ofJuly зайдешь. У меня билайн, так что ты только потратишь деньги, много
0	«Ростелеком» принял участие в учительском проекте
1	Более 19 тысяч клиентов оценили на «пятерку» качество обслуживания в салонах «МегаФона» в Бурятии http://t.co/eKMJD6Lvcp
0	В альбоме появились фотки с визита блогеров и журналистов в Билайн, на Взлетную 3 в Красноярске! Смотрим, радуе.. http://t.co/5LK6BekxbK
0	@Malawyn, уточните, пожалуйста, переносимый номер и контактный номер. Спасибо! ^ДП #МТС
0	НКРСИ выделила «МТС Украина» короткий номер
-1	«Мегафон» повысил стоимость интернет-роуминга в Европе в 2 раза
0	@slavyanka_river, о всех изменениях в тарифах или услугах, публикуется информация на нашем сайте: http://t.co/Gj3HHWeF3l. ^ДП #МТС
0	Beeline объявляет о назначении Артура Григоряна на должность коммерческого директора Блока мобильной связи, сообщает пресс-служба компании.
1	Вчера был фестиваль Билайна в Барнауле. Билайн запускает у нас 4G) Теперь будет все быыстро))
-1	Но в салонах Beeline об этом почему-то ещё не знают((
0	мтс для keenetic 4g http://t.co/GV8PslMK4f прошивка
-1	@ru_mts 24-го получил смс что обращение приняли в работу хотя я жду ответа с 17-го числа - объясните что это означает???????
0	Tele2 совместно в вологжанами украсили Парк мира к новогодним праздникам.Неравнодушные вологжане своими силами украсили Парк Мира к новогод
-1	@megafonru убивает в людях чувство прекрасного http://t.co/QzXK6LXyh2
0	mf 626 билайн звонить http://t.co/0YcybFfkAo прошивка
-1	Бля, че с интернетом, тупой билайн
0	Сотовый оператор МТС ввел функцию звонков из международного роуминга в Россию за счет вызываемого абонента. Об этом «Ленте.ру» сообщили в к
0	@abelyalov это был платёж с карты при помощи моб банка СБ. Переслала все в МТС на номер 1911
1	Вежливый МТС http://t.co/WxzmcjHct0 #приколы
0	Во время заседания, состоявшегося 24 июля 2014, НКРСИ приняла решение о выделении по заявлению ЗАО &amp;laquo;МТС Украина&amp;raquo; сроком на шест
1	Оператор МТС первым среди российских операторов предоставляет абонентам возможность в роуминге совершать звонки за счет вызываемого абонент
0	Экскурсия в ростелекоме
0	"Экскурсия от РТК (@ Музей Связи ""Ростелеком"" w"
-1	Почему МТС в Дагестане не работает? Кто знает? #RT
0	УрБК, Екатеринбург, 25.07.2014. Компания «МегаФон» фиксирует резкий рост востребованности междугородних звонков у абонентов оператора на Ур
0	В МТС @ новокузнецкая http://t.co/Tgwe9u754A
-1	@MegaFonHelp  здравствуйте. В Питере тоже LTE не работает до 25?
0	#RuFollowBack «Билайн» создает удобное web-пространство для корпоративных клиентов #ЧитаюВзаимно
0	«МегаФон» запустил в Новосибирске федеральный центр телемаркетинга
0	«Мегафон» открывает в Новосибирске Федеральный центр телемаркетинга..По оценке компании, новый центр будет производить обслуживание свыше 2
1	Мегафон намерен отключить международный роуминг в Республике Крым
1	Вот такую чудную композицию из полевых цветов Вам дарит #мегафон в честь дня рождения компании @MegaFonUral http://t.co/gpWtnGYv20
-1	@ru_mts а не противоречит ли это закону о возможности перехода между операторами с сохранением номера?
1	"«МегаФон» модернизирует 400 базовых станций в Ростовской области: ""МегаФон"" намерен установить 400 новых маршрутизаторов компании... #железо"
1	«МегаФон» модернизирует 400 базовых станций в Ростовской области
1	#ЧитаюВзаимно «МегаФон» модернизирует 400 базовых станций в Ростовской области #ВЗАИМНЫЙ
1	«МегаФон» модернизирует 400 базовых станций в Ростовской области http://t.co/mLUaPN79O3
1	"МТС: ""Мы приветствуем защиту абонентов от спама"" /  http://t.co/onIMs8EBzj http://t.co/Wf1UO7o6yx"
-1	"Мегафон спонсор ""ДОМа-2""...(я меняю симку)"
1	@1ezha, спасибо! Сейчас все должно работать корректно, протестируйте, пожалуйста. ^ДП #МТС
0	прошивка для телефона билайн с100 http://t.co/Zy83m2jWKW
-1	"В эпоху появления сотовой связи самый лучший оператор был Билайн, его лозунг ""с нами удобно"" очень хорошо работал, не то, что сейчас."
0	RT @stokshina: Приехал послушать про счастье от МТС
-1	@MegaFonUralhelp я предоставил всю необходимую информацию. проблема заключается в медленном интернете, а не на каком этаже я живу.
0	RT @Rostelecom_News: А вы поздравили сисадмина с его профессиональным праздником? #деньсисадмина #ростелеком http://t.co/CqAhhNyTyC
0	Так 500 МБ, 3 ГБ или 1 ГБ? #билайн http://t.co/AERDLwuriO
-1	Что происходит с Билайн? Нереально дозвониться!!! Невыносимо!
0	вы на каку экскурсию? Мы на мегафон #RT
1	"Кто там не мог дозвониться до #МТС а я дозвонилась с первого раза. И там есть в меня ""связаться с специалистом набрав 1"""
0	@Ivbera это билайн
0	Лидером рейтинга операционных систем стала Android…. В сети Tele2 увеличилась доля смартфонов
0	«Rostelecom» расширяет сеть продаж и обслуживания клиентов http://t.co/SQ51hmFgB5
-1	"@Beeline_RUS Пятницкое шоссе д 18
Молю
Дайте LTE
Огромный ТК, огромная нагрузка
Живём как в каменном веке
Обратите внимание!
Уповаю на вас!"
1	RT @Beeline_RUS: @Asdsaruss Сергей, здравствуйте! Спасибо! Мы рады, что Вам понравилась скорость. Приятного пользования интернетом!  #билайн
0	@EvgenyGalashin Евгений,nano SIM может быть,как с поддержкой LTE,так без неё.Пож-та, обратитесь в офис с паспортом для замены.=&gt;#билайн
0	@_IchiRen, готовы провести проверку, отправьте нам на blogs@mts.ru подробности, указав эти данные: http://t.co/ETLqGM3mUP. ^ДП #МТС
0	RT @wlinccubelqa: «Билайн» приглашает всех поклонников кайтбординга, пляжного отдыха и актуальной музыки на заключительный этап фестиваля B…
0	Также широко представлена в сети информация, освящающая тарифы Билайн по Москве и прочие разновидности рекламных акций.
1	"Компания ""Мобильные ТелеСистемы"" (МТС) объявила о запуске сервиса для поведенческого анализа водителей корпоративных автопарков. Новая услу"
0	МТС проследит за поведением водителей корпоративных автомобилей
-1	На даче мой Билайн не ловит чет
0	RT @Beeline_RUS: Вопрос! С каких лет ребенок может пользоваться интернетом сам? Например, нашей «Вебландией»  http://t.co/42lIjU13UC http:/…
0	RT @MegaFonUral: Уже завтра мы открываем в Тюмени парк спорта и инноваций «МегаZone».Ждем вас с 12 до 18 на ул. Ленина /Орджоникидзе:) http…
0	Пост записи участников Блогерских Игрищ МТС http://t.co/eIZQaoVE6X #играемпорусски #spbblog
1	"В Ростовской области Интернет стал быстрее в 10 раз. 
&amp;laquo;Мегафон&amp;raquo; включил на объектах связи новейшее техническое оборудование, к"
1	. МТС включила 4G в Саратовской области
0	@I_need_a_beach @BMTHurricane пойдем на горку Билайн
0	&amp;laquo;Мегафон&amp;raquo; включил на объектах связи новейшее техническое оборудование, которое позволяет значительно увеличить скорость работы
1	&amp;quot;МегаФон&amp;quot; намерен установить 400 новых маршрутизаторов компании Juniper Networks на базовых станциях в Ростовской области, что по
0	@janejashka ну, кинь скрин в саппорт Мегафона, они разберутся. А над чуваком поиздейвайся, веселье же.
0	инструкция для мтс970 http://t.co/t29Oa8lszb #для
1	Трейд-Портал: Акции МТС имеют отличные шансы на возобновление движения цен вверх с текущих уровней http://t.co/46Oq0SUuXf
1	RT @retucargo: Рейтинг стоимости брендов: Apple — лидер, две российские компании — Сбербанк и МТС вошли в топ-100
1	RT @pybewawypymi: Хочешь стать яйцеголовым? Подключись к МТС!!! )))))))
0	@jonny_socker Провайдер, случайно, не Ростелеком?
0	@megafonru  судя по тому, что твит прошел, видимо работает
0	"""Ростелеком"" подсчитал ущерб от наводнения в Алтайском крае и Республике Алтай"
0	«Комстар-ОТС» обеспечит связью деловой центр Ресо в Санкт-Петербурге
0	МТС нацелился на половину «Связного»
0	"@mbrr_ru
МТС-Банк:
Новые возможности карты «МТС Деньги»
http://t.co/TTgMrRPhQT
#news #новости"
0	RT @MegaFonKomiPR: На самом деле победила команда Сергея Сивкова. Лидеры рулят!
-1	#МТС прекрати , что делаешь , где мой интернет ?
-1	Весь @ru_mts в одной картинке. Даде на сайте кривая линковка http://t.co/wseDmJWCsx
1	@chearstime бля, ну почему ты не купила МТСовскую смску, сейчас бесплатно бы чирикали
0	@SotskovaAnn Сообщите нам, пожалуйста, Вы пробовали переставить SIM карту в другой телефон? Какие-нибудь изменения произошли? #билайн
0	«Билайн» напомнит о дополнительных услугах
-1	Окли Окли Окли я лечу к тебе через свою дибильную мегафоновскую скорость
0	В рамках форума Дмитрий Аверов рассказал о внедрении информационной системы для Фонда капитального ремонта многоквартирных домов #Ростелеком
1	на мтс бесплатно вообще-то
-1	Блин как всегда @megafon полный прием 3g интернета ничерта нет
-1	@rostelecom_fe Когда личный кабинет для абонентов GPON Приморского края заработает «в полную силу» ?
-1	МТС, ты пьян, иди домой http://t.co/Vbsp5pQzvW
0	«Ростелеком» восстановил доступ к «Газете.Ru в Нижнем Новгороде  #новости http://t.co/hIH1Lk0CsW
1	МТС запустил сервис поведенческого анализа водителей http://t.co/Ouv5pb80oI
1	МТС запустил сервис поведенческого анализа водителей http://t.co/ntM688XVRh
0	@MegaFonUralhelp смс
1	Купил 4g интернет от МТС) Летает...!)))
0	"""Ростелеком"" восстановил доступ к ""Газете.Ru в Нижнем Новгороде: Доступ к ""Газете.Ru"" в Нижнем Новгороде... http://t.co/5aM9ERywQ1"
-1	Похоже Ростелеком только и умеет, что доступ к неугодным ресурсам закрывать https://t.co/m3ANE7VCg8
-1	"@Beeline_RUS Как на вопрос ""почему не доходят СМС"" мне придурки заявляют ""вам надо поставить антивирус"". Хорошо,что не переустановить ось..."
0	http://t.co/BEbCPPEdAI БИЛАЙН kz
0	коннект скачать программу http://t.co/qqlNE3klfH мегафон
0	СИМКУ МТС КУПИЛА
1	@KonaYuki_U я вот тоже думала билайн брать, спасибо)
-1	мтс ограничил инет,круто
0	как активировать usb модем билайн http://t.co/z7unAOR9Ia
0	@defythestars, если вопрос не решен, то, пожалуйста, уточните номер МТС, контактный номер. Постараемся помочь. ^ДП #МТС
0	МТС рапортует о росте продаж смартфонов в своих магазнах http://t.co/0aw6oZE4Qt
-1	Попросила в МТС наклеить пленку на телефон. Целый атракцион.
-1	Билайн, я все понимаю, но у меня День Рождения ЗАВТРА!
0	Алай приглашает меня на экскурсию в МТС ахахах
1	МТС проследит за поведением водителей: http://t.co/yi9jDvnZlQ
1	Кто дошёл-таки до Ростелекома или получил ключ по почте - те молодцы! Респект, товарищи!
1	@amaranth815 переходи на мегафон с сохранением номера. Там отличный инет, низкие цены и нет смс спама.
0	Скажите мне, безлимитный интернет МТС будет работать в Краснодарском крае?
0	"RT @okophoto: «Билайн» объявил о запуске сети 4G в Орловском регионе

http://t.co/NnxPy64T6u

#Билайн #Орел #Орлец #4G #LTE http://t.co/0FX…"
1	«Билайн» создает удобное web-пространство для корпоративных клиентов
-1	RT @malferov: Трусливый Билайн отказывается признавать факт спама, называя скриншот экрана - подделкой. https://t.co/7Db8X9vgKQ http://t.co…
1	"Ставлю 5 баллов фильму ""Метод Фрейда. 11 серия"" из «Видеопроката» Интерактивного ТВ Ростелеком"
-1	"Интернет у МТС в Парке Горького, я бы сказал, не получается. Тупилово в стиле ""E"""
-1	Билайн опять из аквариума выполз...НУ ЧТО ЗА ЧЕРЕПАХА ТАКАЯ
-1	Муж с каждым годом становмтся наглее
0	Пост записи участников Блогерских Игрищ МТС http://t.co/vmsjiTRcGe #играемпорусски #мтс
-1	RT @t_felg: А что опять с ебучим билайном???? Мне надо сто звонков сделать перед вылетом. А сети опять нет!Перезагружала. Симку проверяли н…
0	RT @pressa71: В сети Tele2 увеличилась доля смартфонов #Тула #Туляк #Туларулит http://t.co/MOpnxXURfO
0	2804 мтс обновление прошивки http://t.co/QTYtf1gPiI fast
-1	@t_felg мегафон тоже довольно так ебучий.
-1	Вы еще не воспользовались нашей новой услугой, а мы уже сняли с вас деньги. МТС: на шаг впереди!
-1	ебучий Билайн продолжит ебатьRT @t_felg: Интересно, а вот ебучий Билайн мне возместит траты на все звонки в (cont) http://t.co/S4kqXUqq9N
1	http://t.co/Ha4gU5wpZt «Билайн» создает удобное web-пространство для корпоративных клиентов
1	"RT @Cinematica_KG: Мы этого ждали! В зале Билайн к/т ""Ала-Тоо"" через 4 дня установят новый экран и 3D систему. Новейшая разработка "
0	Мобильные телефоны мтс http://t.co/SNdokQu6eC
1	Tele2 отменяет плату за общение внутри сети и снижает стоимость звонков на все направления.Tele2 запустила принципиально новую тарифную лин
-1	Я, кстати, по этой же причине и с мтсом до сих пор нихуя не решил. гг
-1	пиздец мтс обрадовал.
1	@Beeline_RUS спасибо! Выручили! Все работает
-1	За качество связи на  Жубанова Тархана уже больше полгода жалуюсь, у @_Beeline_kz специалисты на улитках передвигаются?!
1	@iPrizrak по поводу цен на связь в подкасте: плачу 3$ в месяц за 3000 минут/смс и 3Гб EDGE. Выговорить не могу. МТС Украина
-1	наконец-то, тормознутый ростелеком только щас понял, что деньги на счет пришли и можно включать-таки инет в квартире. спасибо!
0	Драйверы для модемов скайлинк http://t.co/GrM91eoEvb
0	RT @levashove: Друзья,  проголосуйте за меня? Хочу в Анапу http://t.co/WKug1OGHRc #Калининград #Билайн
-1	RT @alice_horan69: МТС,ору с тебя пхахаххахах http://t.co/d2QH0ga5aJ
0	Tele2 переходит на новую макрорегиональную структуру
-1	@whiiite_nigger да еще тут теперь нету света, нет связи мтс, остался только лайф
-1	RT @smoldorogi: На рекламном щите @ru_mts Нагиев и Дед Мороз в исподнем, походу Новый год без подарков будет. Главное соль на спички обменя…
-1	@_Beeline_kz Мне звонят с номеров +393496635324 +575385427871 и так далее. Если поднимаешь трубку, списывает баланс.
0	инструкции настройки dir-320 nru под билайн http://t.co/J0t4HQ8uUO #инструкции
-1	МТС, гори в аду. Г.О.Р.И.В.А.Д.У.
-1	ну мтс не надо так делать((
0	для usb модема билайн под андройд http://t.co/fNg3rVe7at прошивка
1	Завтра может у меня будет и Домашнее Цифровое ТВ МТС
0	мегафон логин2 ms3a инструкция игры http://t.co/Wb4LuaLYgo #логин2 #игры
1	Но я подрубил 8 гб мегафонотрафика, так что ожидайте репортажик с онямефестав Брянске в моём инстаграмчике с тегом #anibryan2014
0	Омский филиал Ростелекома перевел документооборот в электронный вид
0	#news МТС и Научный театр «Ноосфера» рассказали об изобретениях Николы Теслы:  МТС совместно с Научны... http://t.co/Duhr3upTaU #bizler
0	для телефона мегафон логин http://t.co/SMjeyDUtZf программы
0	обновление программы билайн интернет http://t.co/OeGmFBJ65b
0	RT @scenetbaiga: «Ростелеком» договаривается о совместном проекте с «НТВ плюс»
-1	RT @Momzikov: МТС - отвратительнейшая связь. Как же меня угораздило пользоваться этим столько лет
1	«МегаФон» модернизирует 400 базовых станций в Ростовской области &amp;quot;МегаФон&amp;quot; намерен установить 400 новых маршрутизаторов
-1	Если что случилось со связью и связь нужна тебе прямо сейчас @Beeline_RUS ответит тебе что бы ты написал им на e-mail Скорость блять!
0	"Глава МВД Украины Арсен Аваков сообщил, что в отношении главы Минобороны России Сергея Шойгу и крупнейшего миноритария ""Ростелекома"""
0	"RT @colf_ne: Когда вижу на экране телефона значок входящего смс, сразу сердце замирает. И тут Мегафон такой: ""Аха-ха-ха, а я пошутиииил!""."
0	как скачать приложения mts tv http://t.co/MOo5JDsCYn
1	Это чудное состояние, когда ты едешь по Украине, твой поезд заезжает на территорию Молдавии, а МТС тебе шлет смс, что ты в Румынии)
0	прошивка для мтс e1550 http://t.co/FFC2IcK7hD
0	Как ускорить 3g модем мегафон http://t.co/pFW5SWH3ve
0	МегаФон примет участие в проекте Самый большой в мире диван
1	КТО С УКРАИНЫ? У КОГО МТС? ГО ПИСАТЬ СМС ДРУГ ДРУГУ?
0	Zaletchikya На 60% больше стали пользоваться мобильным интернетом абоненты «МегаФона» в Бурятии
0	Вопрос про Tele2 см. внутри?
-1	Люди, не звоните в Билайн! Я не знаю почему у вас 3G буковка не загорается!
0	как получить распечатку звонков ростелеком через интернет http://t.co/bDxMTVVlHz
0	25 июля 2014 г. Компания «МегаФон» запустила в Ставропольском крае очередной этап открытых испытаний собственной сети высокоскоростной пере
0	"НКРСИ выделила «МТС Украина» короткий номер.
Во время заседания, состоявшегося 24 июля 2014, НКРСИ приняла решение о выделении по заявлени"
1	"#RT Мегафон, вы такие ""оперативные и хорошие"
0	Я про московский Билайн.
1	@amaranth815 щас же такая хуйня на законодательном уровне запрещена, не? В любом случае на билайне такой хуйни нет
-1	@Tele2KZ Что за штука? Почему не вводите для Алматинской области? Потому что у нас уровень выше и не сдержите нагрузки от желающих?
0	@porok Антон,добрый вечер!Пож-та,отправьте нам на pomogite@beeline.ru Ваш номер и ссылку на твит.Это поможет нам найти и устранить неполадки
-1	@ru_mts если нет,то с какой радости вы предоставляете мошенникам данные о моих платежах?иначе откуда они мгновенно реагируют на мои платежи?
-1	мтс вчера сговорился и рубанул мне все...ни инета ни связи.. #RT
-1	МТС суки!вчера оборвали мне связь с внешним миром
0	"RT @MihRRRab: Знакомьтесь. Это лиса на Прививке честности #tele2 
Игроки обещали лисе честно больше не есть по ночам!) http://t.co/H2wOqQnm…"
0	МТС приглашает на экскурсию по местам боевой славы Донецка
0	МТС делает экскурсии в Сочинском Дендрарии мобильными
0	МТС приглашает на экскурсию по харьковским улицам Победы
-1	МТС не для путешествий
0	Мы не созданы друг для друга. У него киевстар у меня мтс
0	#Домашний оператор call-центра #Билайн / Уровень зарплаты от 25 000 до 50 000 руб. / Город Ростов-на-Дону / Треб.. http://t.co/16NFJvp7b4
-1	"@ru_mts я просто негодую!
Какого черта,мы не могли дозвониться до оператора в течении 20-30 минут?!!!"
-1	RT @market_ops_crew: Похоже Ростелеком только и умеет, что доступ к неугодным ресурсам закрывать https://t.co/m3ANE7VCg8
0	"RT @vikyra: 4G от ""Билайн"" - тест-драйв в пятницу http://t.co/A9pVIvjXSN #Билайн #Мордовия #Саранск"
0	@mishel_larosh =&gt; направить номер на pomogite@beeline.ru. Обязательно разберемся!
0	прикольный телефон кст был 9308050, даже жаль, что отошел МТС в силу долгого неиспользования.
0	Tele2 выступает телекоммуникационным партнером фестиваля оригинальных самодельных саней «Summer SaniDay».
0	RT @HAPKOTNKN: На 60% больше стали пользоваться мобильным интернетом абоненты «МегаФона» в Бурятии
0	Не знаю почему но сейчас я не от Билайна ждала смс.
0	Артур Григорян назначен коммерческим директором Блока мобильной связи Beeline в Армении
0	"Один из крупнейших операторов сотовой связи Узбекистана ""Билайн"" предупреждает своих абонентов о спаме и предостерегает от возможного мошен"
0	@vodka777001 симку не найду мтс
0	«Ростелеком» запускает новую услугу по покупке фильмов  #ростелеком
1	Абоненты МТС cмогут говорить за рубежом за счет собеседника
0	"#RT На День города ""Мегафон"" приглашает в «Путешествие по миру"
0	радной прошивка для мтс e173 http://t.co/tyYerBIbmb
0	"На экскурсии в ""Мегафоне"" с ребятами с 1-го курса"
1	#Интернет #Медиа В Бурятии более 93% абонентов довольны «МегаФоном» http://t.co/26V61xerrs
